费用科目1,费用科目2,相似之处,区别说明,建议处理方式
操作费,港务费,都是港口相关操作费用,操作费范围更广港务费更具体,建议明确操作费的具体内容范围
堆存费,仓储费,都是货物存储相关费用,堆存费通常指港区内短期存放仓储费指长期仓储,建议按存储地点和时长区分
超期箱使费,租箱费,都是集装箱使用相关费用,超期费是逾期使用租箱费是正常租赁,建议按时间节点区分使用
待时费,停车费,都是车辆等待相关费用,待时费包含司机工时停车费仅为场地费用,建议分别计算
陆运费,拖车费,都是陆地运输费用,陆运费范围更广拖车费专指集装箱拖运,建议按运输方式细分
报关费,清关费,都是通关相关费用,报关费是出口清关费是进口,建议按进出口方向区分
舱单费,舱单申报费,都是舱单相关费用,舱单费可能包含制作和申报舱单申报费仅为申报,建议明确费用构成
单证费,文件费,都是单证制作费用,单证费可能更侧重制作文件费可能包含传输,建议明确服务内容
改单费,VGM更改费,都是信息更改费用,改单费范围更广VGM更改费专门针对重量信息,建议按更改内容区分
设备交接单费,设备管理费,都是设备相关费用,交接单费是单据费用管理费是设备维护费用,建议按费用性质区分
提箱费,放箱费,都是集装箱操作费用,提箱费是取箱放箱费是归还集装箱,建议按操作方向区分
装箱费,装卸费,都是货物操作费用,装箱费是货物装入集装箱装卸费包含多种装卸操作,建议按操作内容细分
拆箱费,掏箱费,都是集装箱货物取出操作,拆箱费通常指整个拆箱过程掏箱费可能指部分取货,建议明确操作范围
港杂费,港务费,都是港口相关费用,港杂费包含多项杂费港务费通常指港口管理费,建议明确费用构成
码头操作费,启运港码头操作费,概念重复,启运港码头操作费是码头操作费的细分,建议统一使用细分科目
码头操作费,目的港码头操作费,概念重复,目的港码头操作费是码头操作费的细分,建议统一使用细分科目
THC(Rail TCR),码头操作费,都是码头处理费用,THC铁路是专门针对铁路集装箱的码头费用,建议按运输方式区分
燃油附加费,紧急燃油附加费,都是燃油相关附加费,紧急燃油附加费是燃油附加费的特殊情况,建议按费用触发条件区分
BAF,燃油附加费,都是燃油相关费用,BAF是燃油附加费的英文缩写,建议统一使用中文名称
集装箱附加费,集装箱附加费(CRC),名称完全相同,CRC是Container Re-positioning Charge的缩写,建议明确具体含义
集装箱服务费,CHC集装箱操作费,都是集装箱相关服务费用,CHC是Container Handling Charge的缩写含义更具体,建议使用更具体的科目名称
AMS,美国舱单申报费,都是美国舱单相关费用,AMS是Automated Manifest System的缩写,建议统一使用中文名称
欧洲舱单申报费,加拿大舱单申报费,都是境外舱单申报费用,分别针对不同国家地区,建议按目的地区分
目的港清关费,清关费,概念重复,目的港清关费是清关费的地点细分,建议使用细分科目
目的港换单费,换单费,概念重复,目的港换单费是换单费的地点细分,建议使用细分科目
海运费,跨境运费,都是跨境运输费用,海运费是跨境运费的运输方式细分,建议按运输方式区分
危险品申报费,危险品附加费,都是危险品相关费用,申报费是单证费用附加费是运输费用,建议按费用性质区分
过磅费,检测鉴定费,都可能涉及货物检测,过磅费专门指重量检测鉴定费范围更广,建议按检测内容区分
加固费,包装费,都是货物包装相关费用,加固费专门指货物固定包装费范围更广,建议按包装内容区分